id_alarm,imie,nazwisko,numer_telefonu
50,ANTONI,WOJCIECHOWSKI,927536901
51,IGNACY,MĄKA,840865544
52,ALEKSANDER,CZARNACKI,932591265
53,STEFANIA,MIKOŁAJEC,875468560
54,LIWIA,KALISZEWSKA,614572501
55,NADIA,PASTERNAK,553698721
56,SZYMON,KUNICKI,892547096
57,ANTONI,HEŁMIŃSKI,879120911
58,FRANCISZEK,ZADORA,953534092
59,KUBA,SHAFRANSKYI,415343511
60,ALEKSANDRA,OBST,925543648
61,MAJA,LEWANDOWSKA,972458573
62,MARIA,KOTAS,473380236
63,MATEUSZ,KISŁOWSKI,574014617
64,TYMON,ŁUBIARZ,651963688
65,ŁUKASZ,SOBOLEWSKI,935016176
66,AMELIA,SKRZYPCZYK,800617525
67,NADIA,YAKYMCHUK,426142830
68,SZYMON,STANKIEWICZ,714012078
69,BLANKA,BERNERT,758571022
70,PAWEŁ,DZIUBAŁA,531228029
71,ZUZANNA,KOWALSKA,796400132
72,LENA,GIELIK,685459932
73,JAN,FEDCHYSHYN,808087502
74,MIŁOSZ,ANTOSIAK,752632057
75,LIWIA,MAMYS,793742497
76,JULIA,PETRYKOWSKA,646649753
77,ANTONI,PODGRUDNY,776971052
78,JAGODA,GMITRZUK,581893833
79,PATRYK,PIOTROWSKI,671491283
80,ALEKSANDRA,WARTACZ,923122365
81,MARIA,KACZMARSKA,516631550
82,JEREMI,SZTER,943047846
83,KACPER,MAJ,816242019
84,STANISŁAW,BIAŁOCERKOWIEC,487618120
85,NADIA,ZAWADZKA,825948192
86,MAJA,WAŚ,876081233
87,PIOTR,STARTSAU,602432511
88,EMILIA,JUCHNIEWICZ,977576086
89,KLARA,NAŁÓDKA,870591854
90,ZUZANNA,JANKOWIAK,887947834
91,JAN,JANKOWSKI,915767578
92,POLA,SURZYN,655870385
93,GRZEGORZ,ŁUKASIK,500640561
94,ZUZANNA,LIANA,761541516
95,WOJCIECH,CZOŁBA,656021802
96,MAJA,LUBCZYŃSKA,761871031
97,BARTŁOMIEJ,BAĆ,449726455
98,APOLONIA,KUCHARCZYK,739008128
99,ALI,MAZUREK,453400394
100,ŁUKASZ,KASZYŃSKI,976199892
101,MAKSYMILIAN,GAWŁOWSKI,476438040
102,KAMIL,ŚMIETANA,751999013
103,ALEKSANDER,RÓŻAŃSKI,409267364
104,GABRIEL,MALINOWSKI,594577980
105,RADOSŁAW,WOŁCZYK,711870276
106,JAGODA,BULSIEWICZ,682292755
107,LILIANNA,SZEWCZYK,672816966
108,IGNACY,ZONTEK,610064212
109,FILIP,OKÓLSKI,808624103
110,FRANCISZEK,MAŁECKI,546952974
111,ANTONI,LAREN,415486460
112,WIKTORIA,JEDLIŃSKA,582414167
113,ANNA,POL,718311373
114,ALEKSANDER,LASZUK,956690001
115,OLIWIA,BACHANEK,446241522
116,FILIP,POLITOWSKI,990178529
117,JULIA,KARPIŃSKA,458054259
118,IGNACY,KUCHARCZYK,536563440
119,ADRIANNA,PIĄTKOWSKA,869242118
120,ANIELA,DUSZYŃSKA,822504979
121,BRUNO,KOKOSZKA,457067775
122,NELA,ŚLIŃSKA,748603072
123,URSZULA,MICHALCZUK,806268719
124,LENA,PANCERZ,615012979
125,JULIA,STEFANOWSKA,574385194
126,ALEKSANDER,ŻABA,907102695
127,EMIL,WIŚNIEWSKI,904654046
128,WOJCIECH,KRÓLEWICZ,881191822
129,ADAM,DUDEK,870423576
130,KACPER,GAJ,817039343
131,WOJCIECH,KROWIARZ,837761174
132,JULIA,RÓŻ,771231083
133,ALEKSANDRA,KAZEK,989167052
134,ANTONI,WÓJCIK,540524304
135,BARBARA,SMUGAŁA,784258865
136,ALICJA,TURCZYN,668864778
137,JAN,RONOWSKI,555421171
138,FRANCISZEK,URBANIK,900868605
139,NELA,PETERA,918923705
140,FRANCISZEK,CZAJA,865306514
141,LILIANA,KRAVCHUK,493607691
142,NICOLAS,GRZYBOWSKI,824247571
143,MARIA,JASKUŁA,949564762
144,HANNA,CZARNY,562163633
145,ALEKSANDER,GAJDA,612553099
146,NATAN,PACUŁA,689366217
147,NADIA,ŁODZIANA,907545209
148,JULIA,STĄPOR,845999337
149,STEFAN,LICHOCKI,562845711
150,ANTONI,STAŃCZYK,902405697
151,NELA,SEMASHKO,549965061
152,IGNACY,STACHYRA,829156986
153,TOBIASZ,KOMAR,994649318
154,ALICJA,KACZMARCZYK,863747486
155,ZLATAN,ZACZKOWSKI,529166916
156,ZOFIA,LUCIAK,784557701
157,ANIELA,GRODZICKA,929696189
158,MIESZKO,ZYGMUNT,500213219
159,JULIA,GIEROS,928612323
160,HUBERT,RATAJCZYK,913691956
161,SZYMON,MILCZANOWSKI,747816028
162,MIŁOSZ,MIŁEK,975596664
163,TYMOTEUSZ,JEZIORO,902620526
164,ZOFIA,SZKARADEK,795769208
165,MARCEL,TAMBORSKI,517056268
166,ADA,GÓRAK,569014442
167,LEON,STĘPIEŃ,577721659
168,FRYDERYK,SPORYSZ,410551634
169,ZLATAN,NOJGEBAUER,430632644
170,JÓZEF,SMYKA,596574983
171,JULIA,GAWRON,799508097
172,LAURA,PASIERBOWICZ,639512720
173,ALICJA,KAZIKOWSKA,785581581
174,LAURA,ŻAK,738469179
175,STANISŁAW,ROSIECKI,635579031
176,SZYMON,CIEŚLIK,431051228
177,GRZEGORZ,STRUCZEWSKI,501548631
178,FILIP,KLUCZYŃSKI,827637193
179,IGOR,JACHIMIAK,475269835
180,MARCIN,SAWIŃSKI,719412145
181,ANASTAZJA,NOGAL,882010457
182,LARA,SOBOCIK,808829573
183,KACPER,ŚWIECKI,484320708
184,NINA,FLORCZAK,928661964
185,MAJA,JĘDRYCHOWSKA,627030296
186,MARIANNA,FELENCZAK,597799446
187,KRISTIAN,BALA,458473126
188,MARCELINA,DYNEK,671163161
189,JULIAN,KOZIELSKI,815852408
190,ZLATAN,DUDZIŃSKI,621219470
191,SZYMON,ŁABĘDŹ,561389988
192,JAN,LASEK,910782460
193,LENA,MAZUR,704642214
194,JAN,BEJGER,999442994
195,PAWEŁ,DUDEK,402461129
196,WOJCIECH,KORYCKI,535175304
197,DAWID,KRASOWSKI,597673893
198,ADRIAN,PSZONKA,551715776
199,STEFAN,GÓRKA,636167135
200,KAJA,OSIŃSKA,930342475
201,OLIWIA,GEMBIAK,843724538
202,KSAWERY,HUMAJ,792270055
203,DANIEL,WRÓBLEWSKI,702644945
204,RAFAŁ,SCHWARZ,934114197
205,FILIP,HEINST,458244218
206,DAWID,SZAFRAŃSKI,592103651
207,ROZALIA,BUKOWSKA,920801503
208,FILIP,LEWICKI,513051060
209,ALICJA,CHYLIŃSKA,736280993
210,ŁUCJA,NIENARTOWICZ,674417561
211,FILIP,MARCZEWSKI,654349520
212,ANNA,STEC,898256303
213,DANIEL,ŚWITAŁA,891058702
214,VIKTORIA,CUDNA,649703096
215,SZYMON,JUREWICZ,723314175
216,BARTOSZ,KOLANKOWSKI,991716186
217,RÓŻA,ROSZKOWIAK,784725070
218,LENA,KOZAK,750410622
219,LAURA,BREWKA,524872182
220,ZUZANNA,TROJAK,676503279
221,FRANCISZEK,SROKA,785466144
222,NATALIA,KALINKA,576864915
223,MILENA,GAŁKOWSKA,591541091
224,ZUZANNA,MUSZYTOWSKA,443157428
225,SZYMON,JĘDRYCZKA,747688783
226,MICHAŁ,DĄBROWSKI,743446424
227,KAMIL,MOCZULEWSKI,829008377
228,LENA,OSTOJSKA,577624544
229,IGNACY,KOBAS,760348372
230,KORNEL,SROCZYŃSKI,650502512
231,TYMON,WITKOWSKI,656740624
232,KACPER,WYKA,448830830
233,HANNA,MARCZAK,439077930
234,FILIP,KĘSIK,688643622
235,HANNA,PIWAŃSKA,612550918
236,MAKSYMILIAN,STRĄK,575023831
237,JULIA,TRAWCZYŃSKA,825561871
238,JAKUB,WICHER,701757213
239,MILENA,WIŚNIEWSKA,584077585
240,LEON,ŁAZARSKI,983914451
241,ADAM,SZENIMAN,860208434
242,KRZYSZTOF,IWICKI,459383146
243,MIKOŁAJ,PUDEŁKO,702475097
244,JAN,KRÓL,789832039
245,MICHALINA,JOHN,829992414
246,JAKUB,TOMCZYK,762283127
247,ANTONI,LUPU,465848089
248,LEON,PYZIK,928349443
249,ZOFIA,PALUSZEK,890312517
250,LAURA,ORZECHOWSKA,545645280
251,ALEKSANDER,ZIELONKA,729513874
252,ALICJA,WILK,747450510
253,MIKOŁAJ,ZIEMIŃSKI,663065009
254,RYSZARD,KYZIOŁ,926400526
255,BLANKA,BIEGAŁA,809175037
256,OSKAR,DĘBSKI,608963806
257,KAJA,FABRYCKA,871350298
258,MARTYNA,KOZAKOWSKA,847364676
259,KAJA,SZKLARSKA,511089613
260,WOJCIECH,MACHERZYŃSKI,926187075
261,KINGA,GRABOWSKA,649307848
262,DAWID,KRĘŻELEWSKI,647865083
263,ADAM,LEWANDOWSKI,799603965
264,BRUNO,BERLIŃSKI,727327996
265,EMILIA,SKIBA,448378657
266,LENA,ROBAKOWSKA,485137517
267,ADRIANNA,WESOŁY,447727000
268,ALEKSANDRA,ZINKIEWICZ,605859020
269,ANTONI,STROJEK,789916296
270,JAKUB,DANKOWSKI,446718526
271,ALICJA,URBANIAK,441824110
272,STEFAN,MIAŁCHOWSKI,705363212
273,MARTYNA,LENKIEWICZ,413366534
274,DIANA,CZERWIŃSKA,637982479
275,ZOFIA,WIZŁA,668404019
276,BLANKA,GAJEWSKA,802422404
277,LILIANA,ŁUCZAK,795361310
278,MELANIA,KWIATKOWSKA,716643214
279,ZLATAN,DĄBROWSKI,784607479
280,WOJCIECH,ROMANIUK,639800751
281,ZUZANNA,DARNOWSKA,713515563
282,ANTONI,SZOSTAK,876142835
283,ZUZANNA,KOSIOROWSKI,846656372
284,JULIANNA,NIKOŁAJCZYK,868780012
285,IGNACY,SZYMAŃSKI,534949163
286,MICHALINA,KAŁDOŃSKA,551825994
287,JONASZ,SZCZEPANIEC,595272296
288,AMELIA,KAJETAŃCZYK,631774770
289,TYMON,ZBYLUT,629586396
290,ANTONI,MAŃKOWSKI,848475156
291,MIESZKO,ZAJĄC,767894405
292,ZUZANNA,ŁUCYN,989680182
293,MIKOŁAJ,JAWOSZEK,936371815
294,LAURA,FRANKOWSKA,909869536
295,NIKOLA,MAGDZIORZ,703197023
296,BORYS,PACZKOWSKI,488941202
297,LEON,HADOWSKI,473395679
298,LIDIA,BABISZ,433033430
299,ZLATAN,HNATIUK,817953197
300,POLA,SZYKOWSKA,946124487
301,PATRYK,WOŚ,749284953
302,ZOFIA,POGODZIŃSKA,697560504
303,WIKTORIA,TRZASKA,862435406
304,IGOR,CZEKAJ,951777227
305,NADIA,PAJĄK,420572597
306,JAN,CIOS,607691612
307,IGNACY,ŁEPKOWICZ,846769719
308,ALICJA,KOLARZ,792350826
309,ALEKSANDRA,HENKE,443906299
310,IGA,GANCAREK,997864538
311,TYMOTEUSZ,KLAMA,648722379
312,ARTUR,NOCOŃ,437921536
313,ALEKSANDER,ROSIAK,832692918
314,ZUZANNA,SOKOŁOWSKA,873209001
315,JAN,GACA,428656408
316,OLIWIER,PIEKARCZYK,900351935
317,POLA,MILCZAREK,780307516
318,IGOR,ŁOSIŃSKI,694965415
319,OLIWIER,SZNOBER,456869957
320,POLINA,DOBIJAŃSKA,435461929
321,SZYMON,KUCHARSKI,753420729
322,MARCELINA,TOPÓR,405376147
323,JAN,ONISZCZUK,710356113
324,ALEKSANDER,JEWKO,440463894
325,MARIA,STRUNK,632654027
326,PATRYCJA,ONWUBIKO,668947657
327,JULIAN,KRÓL,651849010
328,DOMINIK,SIEDZIEWSKI,606353307
329,JULIA,TWARÓG,824972702
330,DOMINIK,OSSOWSKI,500449513
331,FILIP,NOWAK,921044874
332,TADEUSZ,BIERŁA,826133416
333,KUBA,GRUNTKOWSKI,845070061
334,EWELINA,KACZMAREK,749532431
335,LENA,MANNSFELD,810066220
336,TYMOTEUSZ,CIESIELSKI,895013039
337,APOLONIA,PAWLAK,817606987
338,ZOFIA,KURZAWA,618353723
339,PAWEŁ,SULEJ,581505054
340,TYMOTEUSZ,SKOWROŃSKI,897326494
341,LEON,WIŚNIEWSKI,703530083
342,ZUZANNA,ŁACH,913278566
343,ADAM,PŁUSA,793625235
344,JULIAN,GAJOWIEC,651137674
345,IDA,KACPRZAK,904831248
346,IGNACY,MŁYŃSKI,859808429
347,EMILIA,FRANEK,512771367
348,NIKOLA,WALKOWIAK,880288524
349,JAN,KENDZIORA,652773885
350,JAGODA,SZEWCZYK,682927771
351,SZYMON,NOWACKI,954008549
352,ANTONI,WARTAK,751890275
353,TYMON,MAŃKOWSKI,940362040
354,ALICJA,ZIEMIANOWICZ,579687100
355,PAULINA,KOSTKA,517516780
356,ALICJA,DADIA,798324735
357,WITOLD,DUBIELEWICZ,495567264
358,ZUZANNA,PAWLAK,936490496
359,ANTONI,MAŁEK,585443749
360,ROZALIA,KOWALCZYK,737087400
361,STANISŁAW,STASZCZYK,697867744
362,MARTYNA,RADYMNIAK,674934134
363,NATAN,GRONOWSKI,829317661
364,LILIANNA,AFTOWICZ,733519317
365,KSAWERY,KUSZA,609328528
366,PIOTR,LIWAROWSKI,908949995
367,KAJA,GRZYBEK,557380021
368,ANTONINA,ŚWIERCZEWSKA,747722124
369,IGOR,CUŻE,560813087
370,WALERIA,KORZENIAK,967779661
371,JAN,JANIK,805084111
372,ZLATAN,KNICHALLA,547623123
373,ADAM,MADZIARSKI,453503354
374,ANTONI,MICHALSKI,709941513
375,TYMON,PIĄTKOWSKI,589104859
376,KONRAD,CZYŻEWSKI,844855177
377,OSKAR,KOŚCIELNY,403928622
378,WITOLD,KUBIAK,504527672
379,LAURA,ŚRAMSKA,848874338
380,MACIEJ,MENTEL,522952636
381,ALAN,CZERNIEJEWSKI,474748309
382,MIROSŁAW,GAWLIŃSKI,982660011
383,JAKUB,STACHOWIAK,480728695
384,GABRIEL,HALMAN,670732767
385,ANTONI,MIERZEJEWSKI,442430939
386,TYMOTEUSZ,LANGE,421259864
387,TYMOTEUSZ,SERWIŃSKI,424030021
388,POLA,KOZAKIEWICZ,548237889
389,WIKTORIA,MARTYNIAK,662712766
390,FILIP,RAKOWSKI,676588670
391,STEFAN,KAJRYS,537585968
392,ANTONI,BUGAŁA,966463464
393,FILIP,RACZYŃSKI,816032221
394,GUSTAW,WĘGRZYK,691271977
395,NIKODEM,DYBKA,684362997
396,IGNACY,RADKA,999080936
397,MAJA,SŁAWIK,530986177
398,MAKSYMILIAN,BARDADIN,623111858
399,MARCELINA,LEWANDOWSKA,559537134
400,MAKSYMILIAN,STĂNCULESCU,414405756
401,OLIWIA,DASZKE,782259827
402,MARIANNA,MAŁECKA,834219273
403,ANTONI,MOSKWA,883355080
404,ANTONINA,GAWROŃSKA,961244259
405,OLIWIER,RECZEK,934612098
406,FILIP,WIECHEĆ,739700426
407,IGNACY,KEMPIN,657383560
408,FRANCISZEK,SZAFRAŃSKI,935155600
409,KAJETAN,STYŚ,577376699
410,EMILIA,KARCZ,443897649
411,LENA,LISZKA,942682050
412,MAGDALENA,BOGACZ,612116736
413,LAURA,SZCZERKOWSKA,892552439
414,WINCENT,JANTOS,993180736
415,WERONIKA,SORBIAN,921432332
416,IGNACY,STAŃCZYK,772846979
417,EMILIA,MICHALSKA,420563369
418,STANISŁAW,PIETRZYK,517970457
419,MIŁOSZ,POPEŁA,890347146
420,FILIP,TOMALA,887049669
421,PAULINA,STRZELEC,717505366
422,TYMOTEUSZ,BUDZIAK,529443669
423,ZOFIA,LAMCZYK,509052204
424,GRZEGORZ,ROZENKOWSKI,720178535
425,APOLONIA,WAWRYKA,506846234
426,KLARA,DUL,605810253
427,ALEKSANDER,BERA,514691686
428,FILIP,FOTEREK,681841446
429,TYMOTEUSZ,BRZUSZKIEWICZ,471153351
430,ANTONI,BAJON,641643449
431,IGOR,IWAŃSKI,791902685
432,JOANNA,RAZIK,601712850
433,JULIA,LEGUCKA,888382784
434,MARIA,NOWAK,836138150
435,NELA,BINEROWSKA,981909249
436,ALEKSANDER,LANGE,409620628
437,MICHAŁ,ZIELIŃSKI,685519404
438,STANISŁAW,GÓRNY,994155005
439,NEL,WĄSOWICZ,906300041
440,TOMASZ,JAŻDŻEWSKI,933169562
441,ANTONI,BOROWSKI,455905123
442,ANTONI,PŁOSZAJ,953881905
443,ANTONI,ROGOZIA,524044973
444,POLA,SPRAWKA,773039373
445,ANTONI,LUBOS,584857132
446,URSZULA,NOWAKOWSKA,899303493
447,POLA,ZIĘBA,471981682
448,STANISŁAW,ZABOROWSKI,556042327
449,PIOTR,STASZEWSKI,991283981
450,MIŁOSZ,FALBA,971131637
451,MARIA,PASHNIK,687536590
452,MARIA,SZCZYGIELSKA,951770133
453,BLANKA,ZAGÓRSKA,941665319
454,PRZEMYSŁAW,PUDEŁEK,475509086
455,LECH,FLEGER,546273221
456,ALAN,KRAWCZYK,556461329
457,PIOTR,SZCZEPAŃSKI,702934000
458,GUSTAW,KMETYK,429533074
459,ALEXANDER,FRĄDA,457430388
460,MARCEL,GRZELAK,818301260
461,SZYMON,KOPEĆ,827624768
462,IGNACY,TOMASZEWSKI,769990528
463,NIKA,KICZMACH,918143570
464,IGNACY,IWANEK,939675236
465,ROKSANA,STANISZEWSKA,898629518
466,KATARZYNA,SĘKOWSKA,894959343
467,NELA,NIEMYJSKA,583208028
468,NIKOLA,PRUBAN,668011364
469,TYMOTEUSZ,FUHL,427758687
470,SZYMON,KRYŃSKI,655261218
471,NIKODEM,KOŹMIN,664913892
472,JANINA,BIELAWA,768337216
473,ANNA,KALICKA,646168185
474,ANTONI,MIDOR,702651480
475,KATARZYNA,WŁODARCZYK,510173611
476,AMELIA,WADYCH,447967975
477,ZŁATA,DZIADOSZ,853942503
478,FRANCISZEK,GOTKOWICZ,779984155
479,ZUZANNA,IVASYSHYN,664988879
480,GAJA,LINKIEWICZ,434313840
481,NATALIA,SIEVERDING,589172564
482,ALICJA,HONSKA,919736875
483,ANASTAZJA,ZAKHAROVA,501402947
484,MICHAŁ,SZUTA,425629038
485,EWA,JASZCZYK,889880685
486,DANIEL,LEMPART,987851101
487,IGA,PIÓREK,656223001
488,EMILIA,KASZUBOWSKA,764998701
489,POLA,JAMROŻY,930017020
490,MIKOŁAJ,BRAUNTSCH-PRZYBYŁA,439097905
491,FRANCISZEK,PAWŁOWSKI,868998409
492,LEON,PAŁCZYŃSKI,847234414
493,MILAN,ŻĄDŁO,718888694
494,ZOFIA,ŁOCH,721538538
495,KRZYSZTOF,MAKOWSKI,847621714
496,MARIA,TOPOLNIAK,484590895
497,ADRIANNA,BUCHERT,614792423
498,HANNA,NASZKIEWICZ,769284716
499,ZOFIA,KULA,562051586
500,LAURA,KWAŚNY,901776693
501,LEYLA,PAŹDZIOR,606359338
502,ALEKSANDER,KAZLOUSKI,610112694
503,URSZULA,OCHAŁEK,605488123
504,BARBARA,MACIAŚ,899570484
505,ZOFIA,ORZECHOWSKA,526030922
506,JULITA,BĘDZIK,785677579
507,BARBARA,KARWECKA,665591525
508,MAKSYM,TOMCZYK,721988186
509,LILIANA,SZWED,528716425
510,ALEKSANDRA,MACHEJ,447920963
511,ROBERT,DOMAROS,809301482
512,EMILIA,NITZ,808144424
513,ANTONINA,ZAWODNIK,478501323
514,ZOFIA,SOBCZAK,811310258
515,MIKOŁAJ,EJSMONT,678591561
516,MAJA,BUKS,832360308
517,PATRYCJA,POBORCA,571236302
518,IGA,JARZĄBEK,627308533
519,ANTONI,ROSZAK,426451242
520,FRANCISZEK,DZIUBA,602439142
521,HENRYK,ROLAND,953827992
522,KAMIL,ŚWIERCZEK,599138416
523,GABRIELA,GACKA,869457096
524,JAKUB,FUDALEJ,929694963
525,MARCIN,SZTURA,407958055
526,GABRIELA,MALCZYK,600434049
527,JAKUB,BOROWIEC,538420819
528,JOANNA,STANEK,676970810
529,ZUZANNA,WAREC,598933160
530,APOLONIA,KIMMEL,778106104
531,YANA,SUJKA,957239184
532,LILIANA,PILAK,539613111
533,MILAN,ZYGMUNTOWSKI,786307130
534,WOJCIECH,BIEDAK,545199434
535,MIKOŁAJ,BIELSKI,549176994
536,KAROLINA,JAWOROWSKA,893648195
537,MAJA,TYNDEL,623990567
538,MIA,JUREWICZ,631512789
539,HELENA,RAJZER,649480329
540,PIOTR,KOLEŚNIK,436967155
541,SZYMON,SZCZUPAK,706298815
542,KACPER,WÓJCIK,893071731
543,ANTONI,DZIERLA,965699681
544,PATRYK,BYLINA,498769691
545,ANTONI,ŻYTKOWIAK,920130730
546,ANTONI,PAWLAK,537138470
547,IGOR,ŁODZIANA,499612160
548,MICHALINA,JAKUBIAK,972139909
549,ZOFIA,GOŹDZIEWSKA,562336951
550,SZYMON,KOSTKA,753612191
551,NIKODEM,TROGRLIĆ,900362693
552,KRZYSZTOF,ŚWIETLIK,877208598
553,LAURA,DAJKA,851822291
554,TYMON,SAGANOWSKI,853655794
555,NATALIA,LISEK,623033903
556,MARIA,KARPUSZKO,541237814
557,WIKTOR,PANICZEK,768320937
558,NATAN,ŚLIWA,890349915
559,ZLATAN,KOZACZKA,955700866
560,HANNA,DĘBSKA,674015230
561,MIKOŁAJ,WACŁAWCZYK,910984078
562,CYPRIAN,WIŚNIEWSKI,499869806
563,CEZARY,NOWAKOWSKI,969544933
564,FRANCISZEK,DZIEDZIC,946394438
565,EMILIA,GARDIAS,637389607
566,ALAN,KRUSZEWSKI,786417814
567,BORYS,DOBOSZ,953564048
568,MAJA,OCHMAN,649693513
569,MAJA,KUSKA,626866216
570,ADAM,SUMIŃSKI,619112502
571,JAKUB,TUTAK,811814911
572,OLIWIA,ZAWIŚLAK,525328639
573,JULIAN,KLINGER,814487501
574,KORNELIA,PASIEWICZ,542292251
575,ALEKSANDRA,KOLANKO-POLAK,604974737
576,OLIWIA,GAWINEK,764811857
577,GABRIEL,PUŁANECKI,486471529
578,EMILIA,DUNAJ,738610086
579,LUKRECJA,PODLEWSKA,755717742
580,BRUNO,WINIARSKI,508948890
581,KALINA,ZIELIŃSKA,798726014
582,LILIANNA,BORATYŃSKA,489684976
583,DORIAN,KŁYSZ,660956860
584,ELIZA,KRASIŃSKA,865794321
585,KAJA,KOWALCZYK,772381300
586,ZLATAN,SZOT,413598975
587,NIKODEM,CHRÓL,832884727
588,MACIEJ,WRONKO,763643619
589,ANTONI,ZABOROWSKI,892710678
590,ALAN,RZESZUTEK,893365203
591,WOJCIECH,WALACHOWSKI,920671991
592,MATYLDA,JAKUBAS,725144109
593,MIESZKO,SZPAK,421198143
594,MIESZKO,KIPKA,459841088
595,ANTONINA,GŁOWACKA,976045001
596,ALEKSANDER,MROCZKOWSKI,740789851
597,TYMOTEUSZ,ŁĘTOCHA,980545208
598,ZOFIA,JALOWSKA,921356222
599,ZOFIA,NOLVI,669433063
600,PIOTR,WRĘCZYCKI,672984240
601,HANNA,URBANIK,880084456
602,WOJCIECH,OZGA,690669028
603,KONSTANTY,CISZEWSKI,420098547
604,FRANCISZEK,SANECKI,501948323
605,MAJA,SIDORCZUK,629793179
606,KRZYSZTOF,SUCHECKI,625268720
607,POLA,ZŁYDASIK,777717930
608,POLA,WYPARŁO,607153970
609,ANTONI,SIWEK,696853374
610,LUIZA,TYSZKA,414314020
611,NIKODEM,RUDY,634842446
612,KONSTANTY,BARTŁOMIEJCZYK,772093869
613,KAROL,PĘCAK,420152194
614,OLIWIA,MOZGA,410380481
615,ANTONI,KOZŁOWSKI,568383338
616,KAMIL,KRZYŻANIAK,851136060
617,JERZY,KOZERAWSKI,848531143
618,KAJETAN,MARYSIAK,786150816
619,INKA,BUDNIAK,809126631
620,DOMINIKA,ŁAPIŃSKA,442376982
621,KINGA,LEPAK,959884697
622,ANTONI,NOWICKI,664751697
623,FRANCISZEK,BANASZKIEWICZ,689720290
624,MICHAŁ,SHMYGORA,640646382
625,ZUZANNA,CEDROWSKA,448437805
626,DARIA,DYBOWSKA,507933093
627,OLIWIA,ZYGIER,795397870
628,IGOR,BRUDNY,650608907
629,NATALIA,WŁOCH,770093438
630,LAURA,CIERKOSZ,615125124
631,WOJCIECH,DUDKOWSKI,639400076
632,MALWINA,CHABROS,456762644
633,MIŁOSZ,DOBOSIEWICZ,530051453
634,MARCEL,CUPRYŚ,866841398
635,IGOR,BARTCZAK,583777820
636,BRUNO,MAŁYSZ,533461554
637,MAKSYMILIAN,DOBROGOWSKI,517676269
638,FAUSTYNA,BRYŁA,562025945
639,PIOTR,MAJCHROWICZ,489196450
640,IGA,STÓS,533820685
641,WOJCIECH,BARTNICKI,990169101
642,ANTONI,KLUJ,948818066
643,POLA,ANDRZEJEWSKA,618408434
644,ANASTASIIA,HUPERT,981763352
645,ALEKSANDRA,BULSKA,604963386
646,EMILIA,DYBEK,510321876
647,KLARA,BRITTANI,701827995
648,ZOFIA,ANTKIEWICZ,751378154
649,LILIANNA,JABŁOŃSKA,400395765
650,IGNACY,WALICZEK,721361030
651,DAWID,RODAK,720346807
652,NATANIEL,GŁOWSKI,621490388
653,GAJA,STACHAŃSKA,473955164
654,ALEKSANDER,PĘDZIWIATR,450972990
655,TADEUSZ,PACYNA,959940039
656,NELA,KOŚCIELNIAK,851707134
657,IGA,POPŁAWSKA,663786901
658,BRUNO,MATRAS,401473583
659,JAKUB,PAWŁOWSKI,618342342
660,MIKOŁAJ,WRÓBEL,736345020
661,ALICJA,BOROCH,868286103
662,TYMON,ROSIAK,549126457
663,ELIZA,ADAMCZYK,868874001
664,IGNACY,ZARĘBA,791436630
665,OLIWIER,SMENTEK,858735641
666,SZYMON,ZIÓŁKOWSKI,937920338
667,OLAF,ANDRZEJEWSKI,822078886
